time (s)	det(V)
435598.154126	-0.847320	
435598.156125	-0.836550	
435598.160128	-0.827350	
435598.162128	-0.804780	
435598.164128	-0.793986	
435598.166128	-0.783384	
435598.168128	-0.770882	
435598.170128	-0.767099	
435598.172130	-0.750827	
435598.176126	-0.739769	
435598.178128	-0.718035	
435598.180128	-0.710415	
435598.184128	-0.698003	
435598.186128	-0.672495	
435598.188127	-0.655333	
435598.190128	-0.643007	
435598.192128	-0.629944	
435598.196126	-0.611955	
435598.198128	-0.593375	
435598.200128	-0.578513	
435598.204128	-0.566407	
435598.206128	-0.528893	
435598.208128	-0.515204	
435598.210128	-0.499558	
435598.212127	-0.482987	
435598.216126	-0.470966	
435598.218128	-0.447084	
435598.220127	-0.437810	
435598.224129	-0.419427	
435598.226129	-0.388134	
435598.228132	-0.364808	
435598.230134	-0.353908	
435598.232132	-0.337154	
435598.236130	-0.319295	
435598.238132	-0.292014	
435598.240132	-0.273442	
435598.244132	-0.255941	
435598.246133	-0.211972	
435598.248131	-0.195313	
435598.250132	-0.178300	
435598.252134	-0.162432	
435598.256130	-0.144130	
435598.258132	-0.112591	
435598.260133	-0.093218	
435598.262133	-0.074250	
435598.264132	-0.056417	
435598.266134	-0.037772	
435598.268131	-0.019951	
435598.270132	-0.008873	
435598.272132	0.014613	
435598.276130	0.031465	
435598.280130	0.064607	
435598.282132	0.097370	
435598.284132	0.118333	
435598.286131	0.132205	
435598.288132	0.151824	
435598.290132	0.172429	
435598.292131	0.191813	
435598.294132	0.209268	
435598.298132	0.223722	
435598.302131	0.256640	
435598.304132	0.291514	
435598.306134	0.310982	
435598.308132	0.324111	
435598.310131	0.342151	
435598.312133	0.361108	
435598.314132	0.366364	
435598.318131	0.379091	
435598.322132	0.400792	
435598.324133	0.435975	
435598.326133	0.449956	
435598.328132	0.468683	
435598.330136	0.478554	
435598.332136	0.494665	
435598.334136	0.505224	
435598.338136	0.513502	
435598.342136	0.547729	
435598.344137	0.586166	
435598.346136	0.598845	
435598.348137	0.607706	
435598.350136	0.622228	
435598.352136	0.633608	
435598.354136	0.640243	
435598.358136	0.653970	
435598.360136	0.678813	
435598.362135	0.692134	
435598.364138	0.703647	
435598.366138	0.714291	
435598.368139	0.724987	
435598.370138	0.728164	
435598.372138	0.743605	
435598.374138	0.752477	
435598.378137	0.754566	
435598.382138	0.774861	
435598.384138	0.798641	
435598.388136	0.811799	
435598.390138	0.821544	
435598.392138	0.830527	
435598.396137	0.836504	
435598.400137	0.845479	
435598.402138	0.858049	
435598.404138	0.866377	
435598.406136	0.874416	
435598.408139	0.876733	
435598.410138	0.882507	
435598.412138	0.889369	
435598.414137	0.884004	
435598.418137	0.885331	
435598.422137	0.884331	
435598.424137	0.896967	
435598.426138	0.897478	
435598.428139	0.902727	
435598.430140	0.899199	
435598.432140	0.899786	
435598.434141	0.895246	
435598.438141	0.889319	
435598.442141	0.892525	
435598.444140	0.897735	
435598.448138	0.890958	
435598.450139	0.889151	
435598.452140	0.885873	
435598.456139	0.877612	
435598.460138	0.873501	
435598.462140	0.872617	
435598.464140	0.868040	
435598.466140	0.864931	
435598.468140	0.859875	
435598.470140	0.850063	
435598.472139	0.850499	
435598.474140	0.840293	
435598.478138	0.833712	
435598.482139	0.823300	
435598.484140	0.818167	
435598.486140	0.807902	
435598.488140	0.802772	
435598.490140	0.798999	
435598.492140	0.791912	
435598.496138	0.783799	
435598.500138	0.767928	
435598.502140	0.756005	
435598.504140	0.750356	
435598.506142	0.746892	
435598.508140	0.738546	
435598.510140	0.732918	
435598.512140	0.728935	
435598.514139	0.713190	
435598.518139	0.703198	
435598.522139	0.685510	
435598.524140	0.679853	
435598.526140	0.671578	
435598.528140	0.668443	
435598.530142	0.657276	
435598.532147	0.648353	
435598.534144	0.637461	
435598.538151	0.623254	
435598.542153	0.612669	
435598.544152	0.605446	
